MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS
The Man with the Magic Box (2017),5.6,14,"35,552"
Kansas City Confidential (1952),7.4,2,"11,615"
Chasing Coral (2017),8.1,28,"64,741"
Three Colors: Red (1994),8.1,,
The Farthest (2017),8.2,178,"136,956"
Three Colors: Blue (1993),8 ,,
Rear Window (1954),8.5,23,"30,805"
Icarus (2017),8 ,15,"51,510"
Three Colors: White (1994),7.7,,
Loveless (2017),7.8,16,"65,246"
Tsukiji Wonderland (2016),7.5,8,"30,906"
Veronica (2017),6.3,58,"213,312"
The Most Dangerous Game (1932),7.2,5,"14,140"
Gaga: Five Foot Two (2017),7.1,,
Strangled (2016),7.2,23,"83,325"
Hostages (2017),6.4,15,"47,975"
Still Life (2013),7.4,19,"25,755"
The Harder They Fall (1956),7.6,3,"12,625"
The Hanging Tree (1959),7.2,8,"14,443"
Compulsion (2016),4 ,14,"56,358"
Parked (2010),6.8,8,"17,170"
Vapors (1965),7.1,5,"7,979"
Battle Drone (2018),4.7,14,"50,298"
Teenage Yakuza (1962),5.8,5,"6,868"
Six Shooter (2004),7.6,9,"23,735"
Jab Harry met Sejal (2017),5.5,35,"47,672"
The Boy Who Came Back (1958),6.7,1,"6,666"
XIVth Olympiad: The Glory of Sport (1948),6.3,,
Threads (1984),8.1,14,"20,907"
Madhouse (1981),5.6,7,"9,393"
Ready to Rumble (2000),5.3,8,"24,846"
Evil Toons (1992),3.8,10,"26,260"
Tom Jones (1963),6.7,5,"11,009"
Mask (1985),7.2,8,"21,614"
The Dark Crystal (1982),7.2,9,"45,147"
Heartbeats (2010),7.2,9,"17,776"
Gloria (1999),5.1,9,"19,796"
Coco (2017),8.5,491,"1,248,461"
Call Me by Your Name (2017),8.1,118,"273,912"
Let There Be Light (2017),4.6,16,"34,542"
Taking Earth (2017),2.8,89,"53,631"
The Disaster Artist (2017),7.6,87,"327,644"
Bed of the Dead (2016),4.7,9,"35,451"
Locked Up (2017),4.2,19,"63,529"
"I, Tonya (2017)",7.6,,
The Shape of Water (2017),7.6,274,"1,088,275"
The Last Light (2014),3.8,19,"22,725"
Thor: Ragnarok (2017),8 ,,
Darkest Hour (2017),7.4,152,"656,803"
Agenda: Payback (2018),4.9,,
Devil's Tree: Rooted Evil (2018),6.8,,
China Salesman (2017),3.8,17,"63,529"
Novitiate (2017),6.6,17,"47,773"
The Clapper (2017),5.1,42,"68,175"
Hangman (2017),5.1,47,"140,996"
The Eternal Road (2017),7.4,14,"52,621"
The Breadwinner (2017),7.6,56,"196,546"
Ferdinand (2017),6.7,203,"622,059"
The Great Vazquez (2010),6.3,5,"20,503"
The Body (2012),7.6,53,"119,281"
Inhumane (2018),3.3,107,"83,123"
In the Cloud (2018),4.3,15,"53,833"
Nerdland (2016),5.3,11,"41,915"
Devil in the Dark (2017),4.7,21,"51,207"
Mute (2018),5.4,33,"96,859"
I Was a Male War Bride (1949),7.1,2,"14,847"
I Remember You (2017),6.3,46,"99,788"
The Defiant Ones (1958),7.7,7,"18,079"
Kill Order (2017),4.3,34,"113,726"
Leatherface: Texas Chainsaw Massacre III (1990),5.2,,
Time to Die (1966),7.4,5,"10,504"
Lady Bird (2017),7.6,116,"394,203"
Belle Epoque (1992),7.2,3,"25,553"
The Man Who Invented Christmas (2017),7.1,53,"250,783"
London to Brighton (2006),7 ,10,"33,330"
The Death of Stalin (2017),7.4,45,"204,828"
The Lodgers (2017),5.2,88,"54,540"
Seduced and Betrayed (1995),5.2,3,"22,220"
Mohawk (2017),4.4,7,"27,472"
My Entire High School Sinking Into the Sea (2016),6.2,4,"23,836"
Orchestra Rehearsal (1978),7.3,5,"12,625"
Most Beautiful Island (2017),5.6,15,"49,086"
The Square (2017),7.4,29,"111,605"
Manhattan Murder Mystery (1993),7.4,13,"28,381"
Wonder Wheel (2017),6.2,45,"148,672"
Curvature (2017),4.3,17,"58,883"
Father Goose (1964),7.4,4,"17,271"
Beast of Burden (2018),3.8,31,"106,656"
The Girl Without Hands (2016),7 ,8,"28,583"
Female Fight Squad (2016),4.2,15,"57,570"
Elevator to the Gallows (1958),8 ,5,"19,291"
Generation Iron 2 (2017),6.1,13,"46,561"
Same Kind of Different as Me (2017),6.3,13,"58,883"
Mom and Dad (2017),5.5,21,"82,416"
Forgotten (2017),7.1,35,"80,598"
Whose Streets? (2017),4.8,,
Reset (2017),5.2,210,"105,848"
Meester Kikker (2016),6.4,6,"42,925"
Selfie from Hell (2018),3.3,31,"82,517"
The Secret of Marrowbone (2017),6.6,389,"75,649"
The Women's Balcony (2016),6.7,,
Raw (2016),7 ,51,"123,018"
Giant (2017),7 ,10,"48,884"
I Called Him Morgan (2016),7.2,3,"27,775"
The Last Laugh (2016),7 ,7,"39,895"
Fullmetal Alchemist (2017),5.7,56,"253,005"
Human Flow (2017),6.8,13,"64,842"
"Burn Motherfucker, Burn! (2017)",6.6,,
First We Take Brooklyn (2018),3.8,9,"63,832"
Wunderland (2018),0 ,24,"106,555"
The Fortune (1975),5.7,1,"13,736"
The Dead Next Door (1989),5.2,9,"19,291"
In This Corner of the World (2016),7.9,50,"110,797"
Graduation (2016),7.4,17,"65,852"
Captain from Castile (1947),7 ,1,"15,251"
The Battleship Island (2017),7.1,47,"187,658"
Along Came Jones (1945),6.6,3,"13,837"
Zombies (2018),6.6,27,"73,831"
Paradox (2017),6.7,43,"113,019"
2048: Nowhere to Run (2017),6.9,,
A Taxi Driver (2017),7.9,50,"135,845"
Midnight Runners (2017),7.1,48,"126,048"
The Female Brain (2017),5.5,15,"46,157"
Always Be with You (2017),5.5,19,"41,107"
2036: Nexus Dawn (2017),7.1,,
Lucknow Central (2017),6.1,40,"84,133"
